gdb_id,Title,Release_Date,Thumb,Platform,URL
3382,Digimon Racing,9/13/04,boxart/original/front/3382-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3382-1.jpg
3383,Disney's Aladdin,9/28/04,boxart/original/front/3383-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3383-1.jpg
3384,Disney's Extreme Skate Adventure,9/3/03,boxart/original/front/3384-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3384-1.jpg
3385,Disney's Home on the Range,3/31/04,boxart/original/front/3385-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3385-1.jpg
3386,Disney's Magical Quest 2 Starring Mickey & Minnie,11/12/03,boxart/original/front/3386-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3386-1.jpg
3387,Disney's Magical Quest Starring Mickey & Minnie,8/13/02,boxart/original/front/3387-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3387-1.jpg
3388,Disney's Party,9/16/03,boxart/original/front/3388-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3388-1.jpg
3389,Disney Sports: Football,11/5/02,boxart/original/front/3389-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3389-1.jpg
3390,Disney's Treasure Planet,10/31/02,boxart/original/front/3390-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3390-1.jpg
3391,Donkey Kong Country,6/9/03,boxart/original/front/3391-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3391-1.jpg
3392,Donkey Kong Country 2,11/15/04,boxart/original/front/3392-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3392-1.jpg
3393,Doom,10/28/01,boxart/original/front/3393-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3393-1.jpg
3394,Doom II: Hell on Earth,10/29/02,boxart/original/front/3394-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3394-1.jpg
3395,Dora the Explorer: The Search for Pirate Pig's Treasure,12/13/02,boxart/original/front/3395-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3395-1.jpg
3396,Dora the Explorer: Super Spies,10/25/04,boxart/original/front/3396-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3396-1.jpg
3397,Dora the Explorer: Super Star Adventures,11/29/04,boxart/original/front/3397-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3397-1.jpg
3398,Double Dragon Advance,11/11/03,boxart/original/front/3398-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3398-1.png
3399,Dragon Ball Z: Buu's Fury,9/14/04,boxart/original/front/3399-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3399-1.jpg
3400,Dragon Ball Z: Collectible Card Game,5/29/02,boxart/original/front/3400-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3400-1.jpg
3401,Dragon Ball Z: The Legacy of Goku II,6/17/03,boxart/original/front/3401-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3401-1.png
3403,Dragon Ball Z: The Legacy of Goku,5/14/02,boxart/original/front/3403-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3403-1.png
3404,Dragon Ball Z: Supersonic Warriors,6/22/04,boxart/original/front/3404-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3404-1.png
3405,Dragon Ball Z: Taiketsu,11/24/03,boxart/original/front/3405-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3405-1.jpg
3406,Dragon Tales: Dragon Adventures,1/1/04,boxart/original/front/3406-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3406-1.jpg
3407,Driven,11/28/01,boxart/original/front/3407-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3407-1.jpg
3408,Driver 2 Advance,10/22/02,boxart/original/front/3408-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3408-1.jpg
3409,Classic NES Series: Dr. Mario,10/25/04,boxart/original/front/3409-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3409-1.jpg
3410,Duel Masters: Kaijudo Showdown,11/16/04,boxart/original/front/3410-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3410-1.jpg
3411,Duel Masters: Sempai Legends,6/1/04,boxart/original/front/3411-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3411-1.jpg
3412,Duke Nukem Advance,8/13/02,boxart/original/front/3412-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3412-1.jpg
3413,Dungeons & Dragons: Eye of the Beholder,10/30/02,boxart/original/front/3413-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3413-1.jpg
3414,Earthworm Jim,6/10/01,boxart/original/front/3414-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3414-1.jpg
3415,Ballistic: Ecks vs. Sever,11/27/01,boxart/original/front/3415-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3415-1.png
3416,E.T. the Extra-Terrestrial,12/6/01,boxart/original/front/3416-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3416-1.jpg
3417,Extreme Ghostbusters,5/1/03,boxart/original/front/3417-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3417-1.png
3418,F-14 Tomcat,9/2/01,boxart/original/front/3418-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3418-1.jpg
3420,The Fairly OddParents: Breakin da Rules,11/3/03,boxart/original/front/3420-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3420-1.jpg
3421,The Fairly OddParents! Shadow Showdown,9/20/04,boxart/original/front/3421-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3421-1.jpg
3422,Final Fantasy I & II: Dawn of Souls,11/29/04,boxart/original/front/3422-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3422-1.jpg
3423,FIFA Soccer 2004,11/4/03,boxart/original/front/3423-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3423-1.jpg
3424,FIFA Soccer 2005,10/12/04,boxart/original/front/3424-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3424-1.jpg
3425,Final Fight One,9/26/01,boxart/original/front/3425-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3425-1.png
3426,ESPN Final Round Golf 2002,8/28/01,boxart/original/front/3426-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3426-1.jpg
3427,Finding Nemo,5/10/03,boxart/original/front/3427-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3427-1.jpg
3428,Fire Emblem,11/3/03,boxart/original/front/3428-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3428-1.jpg
3429,Fire Emblem: The Sacred Stones,3/23/05,boxart/original/front/3429-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3429-1.jpg
3430,Fire Pro Wrestling,6/10/01,boxart/original/front/3430-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3430-1.png
3431,The Flintstones: Big Trouble in Bedrock,12/9/01,boxart/original/front/3431-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3431-1.jpg
3432,Fortress,8/13/01,boxart/original/front/3432-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3432-1.jpg
3433,Frogger Advance: The Great Quest,5/26/02,boxart/original/front/3433-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3433-1.jpg
3434,Frogger's Adventures: Temple of the Frog,11/21/01,boxart/original/front/3434-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3434-1.jpg
